en	ru	clusters
In subsequent years, it was planned to expand this list with other objects on the territory of a huge country, but after exactly a year, in December 1991, the Soviet Union finally collapsed.	В последующие годы планировалось расширить этот список другими объектами на территории огромной страны, но спустя ровно год, в декабре 1991 года СССР окончательно распался.	Russia
In the 1930s it was the only one computer in the Soviet Union for solving differential equations in partial derivatives.	В 1930-е годы это была единственная в СССР вычислительная машина для решения дифференциальных уравнений в частных производных.	Russia
In the 1940s, systematic research began in the United States, Sweden and the Soviet Union to grow diamonds using CVD and HPHT processes.	В 1940-х в США, Швеции и СССР начались систематические исследования по выращиванию алмазов с помощью методов CVD и HPHT.	Russia
In the 1950s, the Soviet Union reveals its newest asset to be Superman.	В 1950-х годах Советский Союз раскрывает своё новое орудие, Супермена.	Russia
In the 1970s, the Soviet Union and Equatorial Guinea signed numerous agreements, mostly relating to fishing rights.	В 1970-е годы, Советский Союз и Экваториальная Гвинея подписали ряд соглашений, в основном касающихся прав на рыбную ловлю.	Russia
In the East, the Soviet Union arose.	На востоке возник Советский Союз.	Russia
In the Fall of 2005, Rick Falkvinge started to consider creating a political party focused on the issues of file sharing, copyright, and patents.	В конце 2005 года Рикард Фальквинге начал работу по созданию политической партии, которая бы посвятила свою деятельность вопросам авторских прав, патентов и файлообмена.	Politics
In the Philippines, Chief Justice Reynato Puno noted that the model for amparo used there was borrowed from Mexico: the writ of amparo is a Mexican legal procedure to protect human rights.	На Филиппинах Верховный судья Рейнато Пуно отметил, что процедура ампаро, используемая в стране, была заимствована из Мексики: процедура ампаро является исконно мексиканской юридической процедурой по защите прав человека.	Human rights
In the Soviet Union in 1987 by the Executive Committee of the Kuibyshev Regional Council of People's Deputies and in Russia in 2014 by the order of the Ministry of Culture of the Samara region building was marked as an object of cultural heritage of regional significance.	В Советском Союзе в 1987 году исполнительным комитетом Куйбышевского областного Совета народных депутатов и в России в 2014 году министерством культуры Самарской области здание признано объектом культурного наследия регионального значения.	Russia
In the Soviet Union it was possible to play poker only in cellar clubs or the casino.	В СССР поиграть в покер можно было исключительно в подпольных клубах или казино.	Russia
In the Soviet Union the two-stage theory was opposed by the Trotskyist theory of permanent revolution.	В Советском Союзе двухступенчатая теория была противопоставлена троцкистской теории перманентной революции.	Russia
In the Soviet Union, the Hungarians were placed into approximately 2000 camps.	В СССР венгры были размещены примерно по 2000 лагерям.	Russia
In the United Kingdom, allegations of sexual misconduct against many British politicians became a public scandal involving dozens of women accusers across decades and political parties.	В Европе обвинения в сексуальных домогательствах в отношении нескольких британских политиков переросли в публичный скандал с участием десятков женщин-обвинителей, который охватил десятилетия и затронул политические партии.	Politics
In the book there is described the activity of many multinational corporations (multinational enterprise) connected with political and social discrimination, the environmental pollution, violations of the labor law, human rights and consumer protection.	В книге описана деятельность многих транснациональных корпораций (ТНК), связанная с политической и социальной дискриминацией, загрязнением окружающей среды, нарушениями трудового законодательства, прав человека и прав потребителей.	Human rights
In the chaotic time of the Soviet Union's collapse, the story again attracted public attention.	Во время распада Советского Союза история вновь привлекла внимание общественности.	Russia
In the early 1990s, there was no evidence of any underground anti-regime literary or cultural movements such as the samizdat in the Soviet Union or those that exist in the People's Republic of China.	В начале 1990-х годов не было известно о какой-либо подпольной антиправительственной литературе или культурных движениях как, например, самиздат в СССР или тех, которые существуют в КНР.	Russia
In the early 2020s, the New Cold War will end when the economic strain and political pressure on Russia, coupled with Russia's declining population, and poor infrastructure, cause the federal government of Russia to completely collapse, much like the dissolution of the Soviet Union.	В начале 2020-х годов новая холодная война закончится в момент, когда экономические деформации и политическое давление на Россию, вкупе с уменьшающимся населением России, плюс плохая инфраструктура, приведут к полному разрушению федерального правительства России; этот процесс произойдёт примерно так же, как развалился СССР.	Russia
In the late 1930s thousands of Koreans in the Soviet Union were deported to Central Asia, supposedly to prevent further Japanese espionage.	В конце 1930-х годах тысячи корейцев были депортированы в Среднюю Азию из Советского Союза, якобы для того, чтобы предотвратить дальнейшего японского шпионажа.	Russia
In the midst of dissolution of Soviet Union and political turmoil in Georgia in late 1980s, Georgian military played an important role in the struggle for and retaining power.	В разгар распада Советского Союза и политических беспорядков в Грузии в конце 1980-х годов, грузинские военные играли важную роль в борьбе за удержание власти.	Russia
In the same year the Soviet Union collapsed, so Victor Zagainov was the only one to receive this title.	В этот же год Советский Союз распался, так Виктор Загайнов стал единственным, получившим этот титул.	Russia
In the same year the company was added to the FTSE4Good Index of the London Stock Exchange which measures businesses' behaviour in terms of environmental sustainability, relationships with stakeholders, human rights, the quality of working conditions, and fighting against corruption.	В 2011 году Enel была включена в индекс FTSE4Good Лондонской фондовой биржи, который оценивает поведение компании в отношении экологической устойчивости, отношений с заинтересованными сторонами, прав человека, качества условий работы и борьбы с коррупцией.	Human rights
In the seasons 1990 and 1991 Avtomobilist is also involved in the Second League of the Soviet Union and the end of the seasons occupies the 7th and 14th places respectively.	В сезонах 1990 и 1991 годов «Автомобилист» также участвует во Второй лиге СССР и по итогам сезонов занимает 7-е и 14-е места соответственно.	Russia
In the second half of the nineteenth century, Flemish nationalists operated within the established political parties, and had close ties with the political left.	Во второй половине XIX века фламандские националисты действовали в рамках зарегистрированных политических партий и имели тесные связи с левыми политическими силами.	Politics
In the spring of 2010 together with Valeriya Novodvorskaya he created a liberal political party, Western Choice.	В 2013 году совместно с Валерией Новодворской приступил к созданию либеральной политической партии «Западный Выбор».	Politics
In the summer of 1930 Sharkey visited the Soviet Union for the first time as one of the Australian party's representatives to the 5th World Congress of the Red International of Labor Unions (RILU).	Летом 1930 впервые посетил Советский Союз в качестве одного из представителей Австралии на 5-м Всемирном конгрессе Красного Интернационала Профсоюзов.	Russia
In the summer of 1967 as a tourist, he visited the Soviet Union, with sincerity praying in Russian churches and the churches themselves seemed show good condition.	Летом 1967 года как турист посетил СССР, при этом отметил искренность молящихся в русских храмах и хорошее состояние самих церквей.	Russia
In this treaty, the U.S. imposed a number of measures in the field of intellectual property in exchange for granting the USSR most-favoured-nation status.	В этом соглашении США ввели ряд мер в сфере интеллектуальной собственности в обмен на предоставление СССР статуса государства, пользующегося режимом наибольшего благоприятствования.	Copyright
In times of the Soviet Union, the park was a small piece of greenery.	Во времена Советского Союза сквер представлял собой небольшой участок зелени.	Russia
In total 11 political parties contested the election but it was seen as being primarily between ARENA and the opposition FMLN.	В выборах участвовало 11 политических партий, но основная борьба развернулась между правящей партией ARENA и оппозиционной FMLN.	Politics
Increased need for electricity in the north-west of the Soviet Union led to the construction of large oil shale-fired power stations.	Повышенная потребность в электроэнергии на северо-западе Советского Союза привела к строительству крупных сланцевых электростанций.	Russia
Increasingly these issues are considered human rights abuses, with statements from international and national human rights and ethics institutions.	Данный вопрос все чаще рассматривают как нарушения прав человека с заявлениями международных и национальных институтов по правам человека и этике.	Human rights
Independent lawyers and human rights activists have complained Ukrainian judges regularly come under pressure to hand down a certain verdict.	Независимые юристы и правозащитники жалуются на то, что украинские судьи регулярно принимают решения под давлением и небрежно.	Human rights
Individuals with expertise in particular areas of human rights were appointed by the chair of the Commission to serve as Special Rapporteurs for a maximum of six years.	Председатель Комиссии назначал экспертов в определенных областях сферы прав человека на должность специальных докладчиков на срок не более шести лет.	Human rights
Initially Soviet Union officials, including the Soviet embassy and Ukrainian SSR representatives at the United Nations, were opposed to the memorial and demanded the U.S. State Department cancel the plans.	Первоначально чиновники из Советского Союза, в том числе служащие советского посольства и представители Украинской ССР в Организации Объединенных Наций, были против возведения мемориала и дважды требовали у Государственного департамента США через ООН отменить планы по его строительству.	Russia
Insiders are often familiar with the organization's data and intellectual property as well as the methods that are in place to protect them.	Инсайдеры часто знакомятся с данными и интеллектуальной собственностью организации, а также с применяемыми методами их защиты.	Copyright
Instead of developing a sequel, they were asked to develop a role-playing game based on a new intellectual property.	Вместо разработки сиквела им было предложено разработать ролевую игру, основанную на новой интеллектуальной собственности.	Copyright
Instead of returning to France, Marty went to the Soviet Union to work fulltime for the Comintern.	Вместо того чтобы вернуться во Францию, Марти отправился в СССР, работать для Коминтерна.	Russia
Instead of the traditional adaptative foreign policy of the small country, Denmark is today pursuing an active foreign policy, where human rights, democracy and other crucial values is to be defended actively.	Вместо традиционной для малых стран стратегии адаптации Дания на сегодняшний день проводит активную внешнюю политику, в соответствии с которой права человека, демократия и иные человеческие ценности требуют активной защиты.	Human rights
Institute is leading specialized higher education institution in area of intellectual property, informational and analytical, innovation activity.	Институт является ведущим специализированным высшим учебным заведением в сфере интеллектуальной собственности, информационно-аналитической и инновационной деятельности.	Copyright
Intellectual property rights are retained by Areva however, which affects CPR-1000 overseas sales potential.	Права интеллектуальной собственности сохранены за Areva (Франция), что, однако, ограничивает потенциал продаж CPR-1000 за рубежом.	Copyright
International and Kurdish human rights organizations have accused the Syrian government of discriminating against the Kurdish minority.	Международные и курдские правозащитные организации обвиняют сирийское правительство в дискриминации курдского меньшинства.	Human rights
International human rights groups have called on Iraqi authorities to investigate the killings, saying they are the work of paramilitary groups and the police, including groups such as the Mahdi Army, created in 2003 by popular Shia cleric Muqtada al-Sadr.	Международные правозащитные группы призвали иракские власти расследовать убийства, заявив, что они являются делом рук военизированных групп и полиции, включая такие полукриминальные формирования, как Армия Махди, созданная в 2003 году популярным шиитским священнослужителем Муктадой аль-Садр.	Human rights
International human rights groups likewise cataloged a number of cases of human rights violations.	Международные правозащитные организации также каталогизировали ряд случаев нарушений прав человека.	Human rights
International human rights organisations and refugees reported on the atrocities in the town in 1992.	Международные правозащитные организации и беженцы сообщали о зверствах, совершаемых в городе в 1992 году.	Human rights
Iraq's army was primarily equipped with weaponry it had previously purchased from the Soviet Union and its satellites in the preceding decade.	Первично, иракская армия была оснащена оружием, закупленном в предшествующее десятилетие в Советском Союзе и его сателлитах.	Russia
Israel and Pakistan were both allied to the United States and the western bloc during the Cold War, while India was allied to the Soviet Union's bloc.	Израиль и Пакистан были союзниками США и западного блока стран во время Холодной войны, в то время как Индия примкнула к Советскому блоку стран.	Russia
It also brought Myroslava Gongadze to greater prominence as a campaigner for democracy, human rights, and freedom of the press in Ukraine.	Он также сделал известной Мирославу Гонгадзе как борца за демократию, права человека и свободу прессы на Украине.	Human rights
"It also contained the text of an interview with Sun Myung Moon by a Soviet reporter, where Moon said the ballet was ""an important moment in the development of my personal contact with the Soviet Union""."	"Текст также содержал интервью Мун Сон Мёна, взятый советским журналистом, в котором Мун сказал, что балет был «решающим шагом в развитии моих личных контактов с Советским Союзом»."""	Russia
It also had several crucial connection points to the Soviet Union and China, but it was not designed for military traffic and the weather conditions made travel on the roads difficult.	У него также было несколько важных точек соединения с Советским Союзом и Китаем, но он не предназначался для движения военных грузов, а погодные условия затрудняли движение по дорогам.	Russia
It also states that users cannot violate intellectual property law, and that contributions which quote works held under the Creative Commons and/or GNU Free Documentation License (GFDL) must follow the restrictions of those licenses.	Также в них указано, что пользователь не имеет права добавлять контент, нарушая защищённые законом авторские права, а также что контент, распространяемый по условиям Creative Commons и/или GNU Free Documentation License (GFDL), должен соответствовать условиям и ограничениям, указанным в этих лицензиях.	Copyright
It applies to enforcement of intellectual property rights which include industrial property rights.	Речь идёт о защите прав интеллектуальной собственности, включающая промышленную собственность.	Copyright
It argued that action should be taken to prevent human-rights problems from becoming human-rights catastrophes, and that both intervention and inaction represented a failure of the international community.	AI заявила, что своевременные действия необходимы для того, чтобы проблемы в области прав человека не обернулись катастрофой, и что как вмешательство, так и бездействие в равной мере говорят о несостоятельности международного сообщества.	Human rights
It compares the political systems of the Soviet Union and the democratic countries of the West.	Содержит подробный сравнительный анализ политических систем СССР и демократических стран Запада.	Russia
It consisted of representatives from different political parties, councils, and the city Duma.	В его состав вошли представители различных политических партий, советов и городской думы.	Politics
It convenes in Stuttgart and currently consists of 143 members of five political parties.	Ландтаг заседаени в Штутгарте и в настоящее время состоит из 143 членов и представителей пяти политических партий.	Politics
It could also have been used as a forward base for American bombers to strike targets in the Soviet Union.	Она также могла быть использована в качестве основной базы американских бомбардировщиков для поражения мишеней в СССР.	Russia
It documents the health and human rights situation facing intersex people in Mexico, and in the Latin American region more broadly, including societal taboos, incomprehension, unnecessary medicalization, and discrimination.	Организация задокументировала ситуации в области здравоохранения и прав человека, с которой сталкиваются интерсексы в Мексике и в латиноамериканском регионе, в том числе социальные табу, непонимание, ненужную медикализацию и дискриминацию.	Human rights
It entered a union with the Kingdom of Romania, with whom it shares the same language and ethnicity in 1918 and was ceded by Romania to the Soviet Union in 1940.	В 1918 году она вошла в союз с Королевством Румынии, с которой у неё практически один язык и этническая принадлежность, а в 1940 году Румыния вынуждена была передать её Советскому Союзу.	Russia
It explained that the aims of the ROPCiO were to preserve and defend the civil and human rights.	В декларации указывалось, что целью ROPCiO были охрана и защита гражданских прав и прав человека.	Human rights
It forbids members from holding any additional office or membership in political parties.	Членам Сената запрещается занимать какие-либо дополнительные должности или состоять в политических партиях .	Politics
It has also been heavily involved in the discussion of important topics on the international agenda including issues such as the protection of human rights, environmental preservation and the maintenance of peace.	Он также принимает активное участие в обсуждении важных вопросов международной повестки дня, включая такие вопросы, как защита прав человека, охрана окружающей среды и поддержание мира.	Human rights
It has been suggested that the lack of protection of cognitive liberty in previous human rights instruments was due to the relative lack of technology capable of directly interfering with mental autonomy at the time the core human rights treaties were created.	Было высказано предположение о том, что отсутствие защиты когнитивной свободы в предыдущих документах по правам человека объясняется относительным отсутствием технологий, способных непосредственно вмешиваться в умственную автономию в то время, когда были созданы основные договоры по правам человека.	Human rights
It includes both first-generation and second-generation human rights as well as some third-generation human rights: rights of persons belonging to ethnic minorities and right to live in a benevolent environment.	Перечень закреплённых в главе прав включает как права первого и второго поколений, так и некоторые права третьего поколения: право жить в благоприятной среде и права лиц, принадлежащих к национальным меньшинствам.	Human rights
It is neither supported by any of the political parties represented in the Northern Ireland Assembly nor by the government of the United Kingdom or the government of the Republic of Ireland.	Она не поддерживается ни одной из политических партий, представленных в Ассамблее Северной Ирландии, а также правительством Соединенного Королевства и правительством Ирландской Республики.	Politics
It is said that Peres' note called on the Soviet Union to resume diplomatic relations with Israel.	Говорят, что нота Переса призывала Советский Союз возобновить дипломатические отношения с Израилем.	Russia
"It is the largest political party in the country, the so-called ""party of power""."	Является крупнейшей политической партией страны, так называемой «партией власти».	Politics
It is the largest single political party in the National Assembly of Mauritius, winning 34 of the 69 seats in the 2014 general elections.	Является крупнейшей политической партией в Национальном собрании Маврикия, получив 34 из 69 мест на всеобщих выборах 2014 года.	Politics
It is well known that the process of Ukraine's accession to the Soviet Union began on December 30, 1922, and finalized in May 1925, when the IX All-Ukrainian Congress of Soviets adopted a new text of the Constitution of the USSR, and on that date the Republic Subcarpathian Rus was part of the first Czechoslovak Republic.	Хорошо известно, что 30 декабря 1922 начался и в мае 1925 г.завершился процесс вхождения Украины в состав СССР . когда IX Всеукраинский съезд Советов утвердил новый текст Конституции УССР, а на эту дату республика Подкарпатская Русь входила в состав Первой Чехословацкой республики.	Russia
It later developed into a political party, which existed until 2007.	Позже развилась в политическую партию, просуществовавшую до 2007 года.	Politics
It launched only 200 assistance projects between 1975 and 1985, whereas the Soviet Union generated considerably more in the way of contributions.	Вьетнамом было запущено только 200 проектов по оказанию помощи в период между 1975 и 1985 годами, в то время как Советский Союз оказывал Лаосу значительно более масштабную помощь.	Russia
It looks at new policy indicators for innovation, including tax incentives and policies for immigration, education and intellectual property.	В нём учитываются новые политические показатели инновационной деятельности, включая налоговые льготы, политику в области иммиграции, образования и интеллектуальной собственности.	Copyright
It might, he said, form a new political party.	По его словам, возможно речь идёт о создании новой политической партии.	Politics
It passed with unanimous support from all political parties in Parliament, although two of the smaller parties expressed concern over the wide powers it gave ministers.	Закон был принят при единодушной поддержке всех политических партий Новой Зеландии, представленных в парламенте, несмотря на то, что две небольшие партии выразили обеспокоенность в связи с предоставляемыми министрам широкими полномочиями.	Politics
It provides the framework of the Bangladeshi republic with a parliamentary government, fundamental human rights and freedoms, an independent judiciary, democratic local government and a national bureaucracy.	Она обеспечивает такие основы республики Бангладеш, как парламентское правление, основные права и свободы человека, независимая судебная система, демократическое местное самоуправление и национальная бюрократия.	Human rights
It reaffirmed the right of all refugees to return and noted that there was a humanitarian catastrophe unfolding in Kosovo and violations of human rights and international humanitarian law.	"В Управлении подтвердили право всех беженцев на возвращение и отметили, что ""в Косово произошла гуманитарная катастрофа, нарушение прав человека и международного гуманитарного права""."	Human rights
It rejected the view of any international consensus about concepts as democracy, justice, freedom and human rights, especially since most of its member countries are non-Western and undemocratic.	Она отвергает идею любого международного консенсуса относительно таких концепций как демократия, справедливость, свободы и права человека, тем более, что большинство стран-членов ООН являются незападными и недемократическими.	Human rights
"It said that ""due to numerous appeals of workers expressed concern about the fate of the USSR, and given that the preservation of a single union state is the most important issue of public life, affects the interests of each person, all the Soviet Union's population"", the Congress of People's Deputies USSR decided: 1."	Оно гласило, что «в связи с многочисленными обращениями трудящихся, высказывающими беспокойство о судьбах Союза ССР, и учитывая, что сохранение единого Союзного государства является важнейшим вопросом государственной жизни, затрагивает интересы каждого человека, всего населения Советского Союза», Съезд народных депутатов СССР решил: 1.	Russia
It was affiliated to the Communist Party of the Soviet Union led by Oleg Shenin, and it usually refers to itself by its abbreviation KPP-KPSS.	Она была связана с Коммунистической партией Советского Союза во главе с Олегом Шениным и обычно называет себя аббревиатурой КПП-КПСС.	Russia
It was composed by members of local economic and professional associations, as well as of those political party leaders that were willing to collaborate with Italian authorities.	Совет состоял из городских экономических и профессиональных объединений, а также лидеров политических партий, сотрудничавших с итальянскими оккупационными властями.	Politics
It was finally adopted on November 26, 2001 without the chapter on intellectual property, which was postponed to part IV.	Наконец, часть третья была принята 1 ноября 2001 года, но без главы об интеллектуальной собственности, которая впоследствии будет включена в часть четвёртую.	Copyright
It was founded as a moderate splinter group from the national-conservative Swiss People's Party (SVP), and was founded as a political party on the federal level on 1 November 2008.	Партия образовалась как умеренная группа в национал-консервативной Швейцарской народной партии и была основана как политическая партия на федеральном уровне 1 ноября 2008 года.	Politics
It was opposed by some political parties and the Warkari sect.	Против проекта выступали некоторые политические партии и секта Варкари.	Politics
"It was permitted only so long as it developed ""its activity outside every political party and in direct dependence upon the Church hierarchy for the dissemination and implementation of Catholic principles""."	Это движение было полезно только до тех пор, пока развивало «свою деятельность вне какой-либо политической партии, и в прямой зависимости от церковной иерархии для распространения и осуществления принципов католичества».	Politics
It was picked up not only in many parts of the Soviet Union, but also in Europe and America.	А потом она была подхвачена не только во многих уголках СССР, но и в Европе и Америке.	Russia
It was the first Croatian political party formed after the reintroduction of multi-party system.	Это была первая хорватская политическая партия, образовавшаяся после повторного введения многопартийной системы.	Politics
It was the most powerful political party in the country during the 1960s and 1970s, and was closely associated with the Salvadoran military.	Была самой влиятельной политической партией в стране в 1960-х и 1970-х годах, была тесно связана с военными Сальвадора.	Politics
"It's our duty to protect ourselves...The West has had relations with the Arab countries for half a century, mostly for oil, and has not been able to get the slightest concession on human rights."""	"Запад имел отношения с арабскими странами в течение половины столетия, главным образом по нефти, и не способен был получить малейшую уступку по правам человека""."	Human rights
Italy of the Centre (Italia del Centro, IdC) was a small Christian-democratic Italian political party, based in Southern Italy and especially in Abruzzo.	Италия Центра (Italia del Centro, IdC) была небольшой христианско-демократической политической партией Италии, имевшей своим оплотом Южную Италию и в особенности Абруццо.	Politics
Journalists continued to face official harassment through the fall of the Soviet Union and the independence of Tajikistan in 1991.	Журналисты продолжали сталкиваться с официальными преследованиями до падения Советского Союза и получения независимости Таджикистаном в 1991 году.	Russia
Just as Godzilla was conceived as a symbol of an American nuclear threat, Rodan was seen as an embodiment of the same danger originating from the Soviet Union.	Так же как Годзилла был задуман, как символ американской ядерной угрозы, Родан рассматривался как воплощение той же опасности, исходящей из Советского Союза.	Russia
"Kenney, speaking in Jerusalem in December 2009 about Canadian government funding of human rights organizations, said ""We have de-funded organizations, most recently, like KAIROS who are taking a leadership role in the boycott ."	На выступлении в Иерусалиме (Израиль) в декабре 2009 Кенни, говоря о канадском правительственном финансировании организаций по правам человека, заявил: «Мы недавно прекратили финансирование таких организаций, как KAIROS, которые организовали этот бойкот .	Human rights
Kim Philby, a double agent with primary allegiance to the Soviet Union, was a correspondent for the newspaper in Spain during the Spanish Civil War of the late 1930s.	Советский двойной агент Ким Филби работал корреспондентом газеты в Испании во время гражданской войны, в конце 1930-х годов.	Russia
Kirkpatrick herself was one of the most outspoken voices calling for the US to support authoritarian military regimes in Central America that were responsible for major human rights violations.	Сама Киркпатрик была одним из самых откровенных голосов, призывавших США поддержать авторитарные военные режимы в Центральной Америке, которые отвечали за серьезные нарушения прав человека.	Human rights
Klara negatively spoke about Gorbachev's perestroika, the dissolution of the Soviet Union and the policies of President Yeltsin, remained a convinced supporter of communism for the rest of her life.	Клара отрицательно высказывалась о горбачёвской перестройке, распаде СССР и политике президента Ельцина, до конца жизни оставалась убеждённой сторонницей коммунизма.	Russia
Known as a chronicler of the history of workers and trade union of Russia, he created the fundamentals of the science of trade unions in Soviet Union.	Известен как летописец истории рабочего класса и профсоюзов России, заложил основы науки профсоюзов.	Russia
Kocharyan campaigned on the record of economic growth during his presidency and got support from several political parties, while his campaign was run by the defence minister Serzh Sargsyan.	Кочарян говорил про экономический рост во время его президентства и получил поддержку ряда политических партий, в то время как его кампания велась министр обороны Серж Саркисян.	Politics
"Kosovo publisher Veton Surroi formed his own political party in 2004 named ""Ora."""	Косовский издатель Ветон Суррои сформировал свою собственную политическую партию в 2004 году под названием «Ora.»	Politics
Kuzmichev has worked in Europe, the former Soviet Union republics, Venezuela, Nigeria, Iran and Iraq.	Кузьмичёв работал в Европе, бывших советских республиках, Венесуэле, Нигерии, Иране и Ираке.	Russia
LGL's strategic objectives can be achieved only through positioning the LGBT* rights issue within the broader discourse of human rights, therefore LGL actively supports various initiatives both on national and international levels.	Стратегические цели ЛГЛ могут быть достигнуты только путем позиционирования вопросов прав ЛГБТ* людей в рамках более широкого дискурса прав человека, поэтому ЛГЛ активно поддерживает различные инициативы как на национальном, так и на международном уровнях.	Human rights
